Device ID,datapoints,,,log10 Mean,,,Std.Dev. of mean (fold)
,EBFP2,EYFP,mKate,EBFP2,EYFP,mKate,EBFP2,EYFP,mKate
Dox 0.1,18071,38789,42669,4.331844e+00,5.329899e+00,5.569393e+00,1,1,1,
Dox 0.2,15306,32317,35251,4.330452e+00,5.333015e+00,5.566198e+00,1,1,1,
Dox 0.5,14115,30495,33528,4.326479e+00,5.337378e+00,5.584684e+00,1,1,1,
Dox 1.0,12387,26456,29089,4.326265e+00,5.323159e+00,5.573961e+00,1,1,1,
Dox 2.0,14199,30747,34066,4.326872e+00,5.324492e+00,5.588860e+00,1,1,1,
Dox 5.0,17622,37529,41776,4.333674e+00,5.323194e+00,5.577985e+00,1,1,1,
Dox 10.0,16523,35248,38757,4.332921e+00,5.341809e+00,5.592516e+00,1,1,1,
Dox 20.0,17540,35878,39649,4.360046e+00,5.337268e+00,5.600788e+00,1,1,1,
Dox 50.0,16185,28125,30951,4.510488e+00,5.311045e+00,5.604541e+00,1,1,1,
Dox 100.0,18393,29060,32566,4.636256e+00,5.308469e+00,5.633793e+00,1,1,1,
Dox 200.0,21755,30378,34239,4.775760e+00,5.261884e+00,5.616150e+00,1,1,1,
Dox 500.0,27885,33234,38616,4.979428e+00,5.192667e+00,5.706803e+00,1,1,1,
Dox 1000.0,30671,32264,38350,5.147594e+00,5.153512e+00,5.785773e+00,1,1,1,
Dox 2000.0,34897,34188,41553,5.234729e+00,5.115233e+00,5.836853e+00,1,1,1,
